M_pri,err_M_pri,M_sec,err_M_sec,V,err_V,deltaV,err_deltaV,ref,Mv_pri,err_Mv_pri,Mv_sec,err_Mv_sec
0.179,0.002,0.112,0.001,11.48,0.01,2.39,0.05,*,12.70,0.01,15.12,0.09
0.405,0.008,0.157,0.003,10.28,0.03,3.08,0.10,H99,10.32,0.03,13.40,0.10
0.432,0.008,0.301,0.006,9.82,0.02,1.04,0.05,*,10.70,0.03,11.70,0.04
0.120,0.003,0.117,0.003,12.08,0.02,0.45,0.08,H99,15.49,0.04,15.94,0.05
0.325,0.010,0.205,0.007,12.21,0.03,1.67,0.10,H99,11.49,0.04,13.16,0.09
0.223,0.002,0.109,0.001,11.14,0.03,3.08,0.05,H99,13.11,0.03,16.19,0.06
0.350,0.005,0.187,0.004,10.95,0.03,1.61,0.08,H99,11.07,0.03,12.68,0.07
0.126,0.005,0.124,0.005,13.29,0.03,0.30,0.05,*,14.16,0.05,14.46,0.05
0.332,0.007,0.188,0.004,12.05,0.02,1.59,0.05,H99,11.69,0.03,13.28,0.05
0.124,0.005,0.113,0.005,12.47,0.04,-0.01,0.05,H99,15.09,0.05,15.08,0.05
0.379,0.007,0.114,0.002,10.28,0.03,5.28,0.10,B96,10.77,0.03,16.05,0.10
0.369,0.005,0.190,0.003,11.10,0.04,1.81,0.04,H99,11.25,0.04,13.06,0.05
0.111,0.001,0.076,0.001,13.41,0.03,3.29,0.05,H99,15.17,0.03,18.46,0.06
0.237,0.004,0.114,0.002,13.13,0.04,3.27,0.10,B00,13.46,0.04,16.73,0.10
0.270,0.004,0.145,0.002,12.02,0.02,2.10,0.06,H99,12.66,0.02,14.76,0.06
