Mv,err_Mv,Mk,err_Mk,M,err_M
12.68,0.03,7.45,0.03,0.177,0.029
9.01,0.33,5.32,0.01,0.599,0.005
9.01,0.33,5.32,0.01,0.599,0.005
9.45,0.05,5.40,0.03,0.586,0.007
11.09,0.17,6.58,0.04,0.390,0.005
12.72,0.02,7.64,0.03,0.231,0.001
12.86,0.03,7.78,0.03,0.214,0.001
12.30,0.06,7.53,0.04,0.214,0.001
12.52,0.06,7.63,0.04,0.200,0.001
11.78,0.01,7.03,0.04,0.268,0.020
13.39,0.01,8.40,0.07,0.172,0.008
19.24,0.07,10.48,0.05,0.079,0.020
19.63,0.08,10.83,0.05,0.079,0.020
11.49,0.02,6.29,0.03,0.433,0.002
11.76,0.03,6.55,0.03,0.398,0.001
8.60,0.17,5.29,0.15,0.616,0.006
8.89,0.18,5.42,0.15,0.600,0.006
