Mv,logL
-5.7,5.80
-5.5,5.67
-5.4,5.58
-5.2,5.46
-5.1,5.37
-4.9,5.24
-4.8,5.17
-4.6,5.05
-4.5,4.99
-4.3,4.87
-4.2,4.82
-4.1,4.76
-4.0,4.65
-3.6,4.47
-3.1,4.13
-2.8,3.89
-1.7,3.38
-1.4,3.10
-1.1,2.96
-1.0,2.91
-0.9,2.80
-0.5,2.54
-0.4,2.49
-0.2,2.27
0.7,1.79
0.8,1.73
1.11,1.54
1.34,1.41
1.48,1.33
1.55,1.29
1.76,1.20
1.84,1.16
1.89,1.14
2.07,1.06
2.29,0.97
2.30,0.97
2.51,0.89
2.79,0.77
2.99,0.70
3.08,0.67
3.23,0.61
3.40,0.54
3.70,0.43
3.87,0.36
4.01,0.31
4.15,0.26
4.45,0.14
4.50,0.13
4.79,0.01
4.86,-0.01
4.94,-0.04
4.98,-0.05
5.13,-0.11
5.18,-0.12
5.32,-0.17
5.55,-0.25
5.76,-0.33
5.91,-0.37
6.19,-0.47
6.57,-0.58
7.04,-0.71
7.25,-0.75
7.88,-0.92
8.30,-1.04
8.58,-1.08
9.00,-1.22
9.16,-1.26
9.80,-1.42
9.97,-1.47
10.30,-1.57
10.70,-1.68
11.14,-1.78
12.19,-2.07
12.80,-2.20
13.57,-2.31
14.30,-2.52
15.51,-2.79
16.62,-3.02
17.07,-3.09
17.81,-3.21
18.42,-3.29
18.88,-3.34
19.26,-3.53
19.8,-3.57
20.3,-3.70
20.8,-3.84
21.3,-3.98
22.2,-4.11
23.1,-4.24
