SpT   Teff   Msun 
O3V    46000  .... 
O4V    43000  .... 
O5V    41500  .... 
O5.5V  40000  .... 
O6V    39000  .... 
O6.5V  37300  .... 
O7V    36500  .... 
O7.5V  35000  .... 
O8V    34500  .... 
O8.5V  33000  .... 
O9V    32500  19.6 
O9.5V  32000  18   
B0V    31500  17.5 
B0.5V  29000  15   
B1V    26000  11   
B1.5V  24500  10   
B2V    20600  7.3  
B2.5V  18500  6.1  
B3V    17000  5.4  
B4V    16700  5.0  
B5V    15700  4.6  
B6V    14500  4.0  
B7V    14000  3.9  
B8V    12500  3.4  
B9V    10700  2.8  
B9.5V  10400  2.5  
A0V    9700   2.3  
A1V    9200   2.15 
A2V    8840   2.05 
A3V    8550   2.00 
A4V    8270   1.90 
A5V    8080   1.85 
A6V    8000   1.83 
A7V    7800   1.76 
A8V    7500   1.67 
A9V    7440   1.67 
F0V    7200   1.59 
F1V    7030   1.50 
F2V    6810   1.44 
F3V    6720   1.43 
F4V    6640   1.39 
F5V    6510   1.33 
F6V    6340   1.25 
F7V    6240   1.21 
F8V    6170   1.18 
F9V    6040   1.14 
G0V    5920   1.08 
G1V    5880   1.07 
G2V    5770   1.02 
G3V    5720   1.00 
G4V    5680   0.99 
G5V    5660   0.98 
G6V    5590   0.97 
G7V    5530   0.96 
G8V    5490   0.94 
G9V    5340   0.90 
K0V    5280   0.87 
K1V    5170   0.85 
K2V    5040   0.82 
K3V    4840   0.78 
K4V    4620   0.73 
K5V    4450   0.72 
K6V    4200   0.70 
K7V    4050   0.64 
K8V    3970   0.63 
K9V    3880   0.61 
M0V    3850   0.60 
M1V    3700   0.53 
M1.5V  3650   0.50 
M2V    3550   0.48 
M2.5V  3500   0.44 
M3V    3410   0.39 
M3.5V  3250   0.28 
M4V    3200   0.22 
M4.5V  3100   0.18 
M5V    3030   0.15 
M5.5V  3000   0.12 
M6V    2850   0.11 
M6.5V  2710   0.10 
M7V    2650   0.09 
M7.5V  2600   0.08 
M8V    2500   0.077
M9V    2450   0.065
L0V    2250   ...  
L1V    2100   ...  
L2V    1960   ...  
L3V    1830   ...  
L4V    1700   ...  
L5V    1590   ...  
L6V    1490   ...  
L7V    1410   ...  
L8V    1350   ...  
L9V    1300   ...  
T0V    1260   ...  
T1V    1230   ...  
T2V    1200   ...  
T3V    1160   ...  
T4V    1120   ...  
T4.5V  1090   ...  
T5V    1050   ...  
T5.5V  1010   ...  
T6V    960    ...  
T7V    840    ...  
T7.5V  770    ...  
T8V    700    ...  
T8.5V  610    ...  
T9V    530    ...  
T9.5V  475    ...  
Y0V    420    ...  
Y0.5V  390    ...  
Y1V    350    ...  
Y1.5V  325    ...  
Y2V    250    ...  
