cdf,gamma_R_bins
0.0,0.0
0.020388940688447845,0.0
0.06739386904648637,0.002
0.10464911613038261,0.004
0.13615540501969434,0.006
0.16418187353719094,0.008
0.1898583334919033,0.01
0.21315386371853168,0.012
0.235502730576751,0.014
0.2561770974064277,0.016
0.2760855707571403,0.018000000000000002
0.2956182330219016,0.02
0.314123361178239,0.022
0.33187924571385075,0.024
0.34537514509162176,0.026000000000000002
0.35131200882918195,0.028
0.35713945921260437,0.03
0.3624983350141761,0.032
0.3676978478868951,0.034
0.3726737769489848,0.036000000000000004
0.37758786368047487,0.038
0.3821665746960211,0.04
0.38665727931802174,0.042
0.3911598766959069,0.044
0.39525098472018716,0.046
0.3991399158944303,0.048
0.40304311837573487,0.05
0.4068392860540786,0.052000000000000005
0.4106782676536067,0.054
0.41430080109603623,0.056
0.41770688638136727,0.058
0.421170056894944,0.06
0.4246760413297051,0.062
0.4281653759062279,0.064
0.43132409186916054,0.066
0.43446615797385485,0.068
0.437458375354404,0.07
0.4404981637584913,0.07200000000000001
0.4434975167925712,0.074
0.446216200787776,0.076
0.4488706639012044,0.078
0.45171541110878527,0.08
0.45437225277339055,0.082
0.45717418605978716,0.084
0.45982627062203857,0.08600000000000001
0.4623665632789754,0.088
0.4648830704241431,0.09
0.4674067132228416,0.092
0.4699255989191862,0.094
0.4723207999543317,0.096
0.4746232374935778,0.098
0.47713974463874553,0.1
0.47950164595741435,0.10200000000000001
0.48181121915019115,0.10400000000000001
0.484094628280022,0.106
0.4864898293151675,0.108
0.4887613456891138,0.11
0.49107091888189064,0.112
0.49328297147641426,0.114
0.49545934580328427,0.116
0.4976071775160314,0.11800000000000001
0.4998097159058474,0.12
0.5020051186421326,0.122
0.5040078587330884,0.124
0.5062151542252582,0.126
0.5082868723003443,0.128
0.5103776187848457,0.13
0.5124755009228779,0.132
0.5144520769508877,0.134
0.5163953532624208,0.136
0.518286301448062,0.138
0.5202985557437254,0.14
0.5221942610317203,0.14200000000000002
0.5241256445873689,0.14400000000000002
0.5260308640800715,0.146
0.5280121972104351,0.148
0.5298032462466461,0.15
0.5316941944322873,0.152
0.5336089281296975,0.154
0.5353975986147317,0.156
0.5371791334462351,0.158
0.5389606682777386,0.16
0.5407326889045343,0.162
0.5424951953266226,0.164
0.5442291591345879,0.166
0.545967880044907,0.168
0.5476162160105036,0.17
0.5492288737084466,0.17200000000000001
0.5510579795634882,0.17400000000000002
0.5527110726314387,0.176
0.5544022225182197,0.178
0.5560791010979391,0.18
0.5578392289688504,0.182
0.5594899434856239,0.184
0.5610336231994366,0.186
0.5626534165509104,0.188
0.5642827241070918,0.19
0.5660262021197646,0.192
0.5676935664947765,0.194
0.569398987688619,0.196
0.5710092668353851,0.198
0.5726219245333282,0.2
0.5741679827983177,0.202
0.5757449622286072,0.20400000000000001
0.5773266987612504,0.20600000000000002
0.5788370787585865,0.20800000000000002
0.5804449793541756,0.21
0.5820576370521187,0.212
0.5836227237265236,0.214
0.5851354822750365,0.216
0.5867291115635642,0.218
0.5882252202538388,0.22
0.5897570072117669,0.222
0.591317336783818,0.224
0.5928491237417461,0.226
0.5943000399596595,0.228
0.5957533347287497,0.23
0.5972851216866779,0.232
0.5987622019675373,0.234
0.6002939889254654,0.23600000000000002
0.6017425265922018,0.23800000000000002
0.6032219854242381,0.24
0.6046895515003898,0.242
0.6060881395924113,0.244
0.6074748349285481,0.246
0.6088734230205696,0.248
0.6102529827031756,0.25
0.611653949346374,0.252
0.6130715658478106,0.254
0.6144891823492473,0.256
0.6159353414648069,0.258
0.6173482008638896,0.26
0.6187610602629724,0.262
0.6200621277567406,0.264
0.6214416874393467,0.266
0.6228640610431372,0.268
0.6241603714345516,0.27
0.6255898806918728,0.272
0.6269028409415255,0.274
0.6282633722147164,0.276
0.6296120107320228,0.278
0.6309035640210833,0.28
0.6322522025383895,0.28200000000000003
0.6336936045515952,0.28400000000000003
0.6350470001712555,0.28600000000000003
0.6362671969250088,0.28800000000000003
0.6376919490799762,0.29
0.6389383098966754,0.292
0.6401585066504288,0.294
0.641485738207143,0.296
0.6427225848191347,0.298
0.6438904534469961,0.3
0.6451582212242876,0.302
0.6463689037733333,0.304
0.6476176431412096,0.306
0.6488758967137934,0.308
0.6501959926169768,0.31
0.6514161893707302,0.312
0.6526482788803681,0.314
0.6538875040435368,0.316
0.6551790573325973,0.318
0.656363575818697,0.32
0.657517173139497,0.322
0.6588063478773806,0.324
0.6601502292923331,0.326
0.6613204764713714,0.328
0.6626191654139626,0.33
0.6637347059159321,0.332
0.6651190227008921,0.334
0.6663796548246528,0.336
0.6675879588225216,0.338
0.6687486917968524,0.34
0.6699260746294214,0.342
0.6711201073202288,0.34400000000000003
0.6723070043575055,0.34600000000000003
0.673524822560082,0.34800000000000003
0.6747069624950047,0.35000000000000003
0.6759866230281808,0.352
0.6771758986166344,0.354
0.6783699313074418,0.356
0.6796686202500332,0.358
0.6807770250984718,0.36
0.6819591650333946,0.362
0.6831983901965633,0.364
0.6844399939109087,0.366
0.6855388845546398,0.368
0.6866972389777937,0.37
0.6878341864403552,0.372
0.6889378341864402,0.374
0.690119974121363,0.376
0.6912521644815708,0.378
0.6923914904953092,0.38
0.6934903811390404,0.382
0.6945298080033487,0.384
0.6955858847258956,0.386
0.6967537533537569,0.388
0.6979097292257337,0.39
0.6990657050977105,0.392
0.7002026525602721,0.394
0.7012920289992955,0.396
0.7025193614065797,0.398
0.7036277662550183,0.4
0.704683842977565,0.402
0.7058279260936574,0.404
0.7070505013985877,0.406
0.7082064772705645,0.40800000000000003
0.7093624531425413,0.41000000000000003
0.7104375582745034,0.41200000000000003
0.7114936349970501,0.41400000000000003
0.7126282039084348,0.41600000000000004
0.7137960725362962,0.418
0.7149853481247498,0.42
0.7160866173196577,0.422
0.7172283218845732,0.424
0.7184294902289113,0.426
0.7194998382585195,0.428
0.720641542823435,0.43
0.7216999980971587,0.432
0.7228012672920666,0.434
0.7238644796681442,0.436
0.7250061842330596,0.438
0.7260575038532526,0.44
0.7271992084181681,0.442
0.7283337773295527,0.444
0.729425532319753,0.446
0.7304816090422999,0.448
0.7315567141742618,0.45
0.7327388541091847,0.452
0.7337759024223163,0.454
0.7348391147983937,0.456
0.7359427625444785,0.458
0.7370202462276174,0.46
0.7381405438319407,0.462
0.7391680779403645,0.464
0.7402645900329188,0.466
0.7414110517001881,0.468
0.7424504785644965,0.47000000000000003
0.7436397541529501,0.47200000000000003
0.7446744239149047,0.47400000000000003
0.7456853081650902,0.47600000000000003
0.7468008486670596,0.47800000000000004
0.7478497897360756,0.48
0.7488749452933227,0.482
0.7499143721576311,0.484
0.7510108842501854,0.486
0.7520384183586092,0.488
0.7530873594276252,0.49
0.7541125149848722,0.492
0.755216162730957,0.494
0.756293646414096,0.496
0.7573092877666353,0.498
0.7583082792609362,0.5
0.7592406713222839,0.502
0.7603110193518922,0.504
0.7613956386885617,0.506
0.762389873080509,0.508
0.763438814149525,0.51
0.7645424618956099,0.512
0.7656817879093484,0.514
0.7667806785530795,0.516
0.7678177268662111,0.518
0.7688500180769887,0.52
0.7698846878389433,0.522
0.770838486860883,0.524
0.77186364241813,0.526
0.772936368998915,0.528
0.7739615245561621,0.53
0.7750104656251781,0.532
0.7761355203318551,0.534
0.7772153825661708,0.536
0.7781977242022335,0.538
0.7791919585941807,0.54
0.7801933286396586,0.542
0.7811257207010062,0.544
0.7820842768252997,0.546
0.7830808897684238,0.548
0.7840751241603711,0.55
0.7851216866782101,0.552
0.7861373280307494,0.554
0.7872100546115346,0.556
0.7882851597434966,0.558
0.789269879930736,0.56
0.7901618366220763,0.562
0.7912060205887385,0.5640000000000001
0.7921931193271549,0.5660000000000001
0.7931754609632176,0.5680000000000001
0.7942767301581256,0.5700000000000001
0.795339942534203,0.5720000000000001
0.7964388331779342,0.5740000000000001
0.7974853956957733,0.5760000000000001
0.7984653587806589,0.578
0.7994548360702523,0.58
0.8003800924780692,0.582
0.8013219987441244,0.584
0.8022496337031181,0.586
0.8031796472132888,0.588
0.804200045668182,0.59
0.805225201225429,0.592
0.8063050634597448,0.594
0.8073278404658148,0.596
0.8083434818183542,0.598
0.8093258234544168,0.6
0.810322436397541,0.602
0.8113428348524342,0.604
0.8123275550396737,0.606
0.8133503320457438,0.608
0.8143588377447525,0.61
0.8153554506878765,0.612
0.8163758491427697,0.614
0.8174271687629627,0.616
0.81842140315491,0.618
0.8194846155309874,0.62
0.8203860864270353,0.622
0.821363670960744,0.624
0.8223412554944529,0.626
0.8233806823587614,0.628
0.8243606454436472,0.63
0.8254524004338475,0.632
0.826487070195802,0.634
0.8275336327136411,0.636
0.8285492740661804,0.638
0.8295125872928278,0.64
0.830433086598291,0.642
0.8315081917302529,0.644
0.8324500979963081,0.646
0.8333872471600096,0.648
0.8343529389378338,0.65
0.8353662017391963,0.652
0.836396114398797,0.654
0.8373356421136753,0.656
0.8383322550567994,0.658
0.8392551329134393,0.66
0.8401708751165486,0.662
0.8411127813826038,0.664
0.8420713375068973,0.666
0.8430631933476677,0.668
0.8440669419443224,0.67
0.8449636557380164,0.672
0.8459697828858481,0.674
0.8469782885848568,0.676
0.8479606302209194,0.678
0.8489144292428592,0.68
0.84984444275303,0.682
0.8508196487355619,0.684
0.8518543184975165,0.686
0.8527534108423873,0.6880000000000001
0.853681045801381,0.6900000000000001
0.8546586303350899,0.6920000000000001
0.8556195650105604,0.6940000000000001
0.8565995280954461,0.6960000000000001
0.8575081346450246,0.6980000000000001
0.8584928548322642,0.7000000000000001
0.8595108747359804,0.7020000000000001
0.8604504024508587,0.704
0.8614208513310367,0.706
0.8624293570300454,0.708
0.8634259699731696,0.71
0.8643845260974631,0.712
0.8654001674500024,0.714
0.8663230453066423,0.716
0.8672911156356435,0.718
0.8682306433505218,0.72
0.8692224991912921,0.722
0.8701762982132318,0.724
0.8710777691092797,0.726
0.8720315681312194,0.728
0.8730281810743435,0.73
0.8739439232774528,0.732
0.8749167507088078,0.734
0.8758134645025017,0.736
0.8767862919338567,0.738
0.8777377124046196,0.74
0.8787604894106896,0.742
0.879826080337944,0.744
0.8808155576275373,0.746
0.8818097920194845,0.748
0.8827849980020165,0.75
0.883745932677487,0.752
0.8847044888017805,0.754
0.8857225087054967,0.756
0.8866834433809673,0.758
0.8877442772058678,0.76
0.8886885620230999,0.762
0.8896423610450397,0.764
0.890631838334633,0.766
0.8915380663330346,0.768
0.8925751146461661,0.77
0.8935098852586907,0.772
0.8944422773200382,0.774
0.8953437482160861,0.776
0.896316575647441,0.778
0.8973322169999804,0.78
0.8982550948566204,0.782
0.8991494300991374,0.784
0.9001222575304924,0.786
0.9011283846783241,0.788
0.9020655338420256,0.79
0.9030573896827958,0.792
0.9040254600117971,0.794
0.9049959088919751,0.796
0.9059045154415536,0.798
0.9067893364793631,0.8
0.9077336212965952,0.802
0.9087254771373655,0.804
0.9096507335451823,0.806
0.910502254866515,0.808
0.9114465396837471,0.81
0.9124074743592177,0.812
0.9132732669876118,0.8140000000000001
0.9142556086236745,0.8160000000000001
0.9152213004014987,0.8180000000000001
0.9162726200216917,0.8200000000000001
0.917266854413639,0.8220000000000001
0.9181825966167483,0.8240000000000001
0.919112610126919,0.8260000000000001
0.9201068445188663,0.8280000000000001
0.92103447947786,0.8300000000000001
0.9219954141533305,0.8320000000000001
0.9229848914429238,0.834
0.9239648545278095,0.836
0.9249067607938647,0.838
0.9258153673434433,0.84
0.9267358666489063,0.842
0.9276991798755537,0.844
0.9286077864251322,0.846
0.9295806138564872,0.848
0.930558198390196,0.85
0.9314882119003668,0.852
0.9324634178828988,0.854
0.9334695450307305,0.856
0.9344043156432551,0.858
0.9353628717675486,0.86
0.9363523490571419,0.862
0.9372395486461282,0.864
0.9381386409909991,0.866
0.9391637965482461,0.868
0.9401675451449009,0.87
0.9411546438833173,0.872
0.9421512568264414,0.874
0.9429885068407127,0.876
0.9438471638155761,0.878
0.9448580480657617,0.88
0.9458546610088857,0.882
0.9467965672749409,0.884
0.9477575019504114,0.886
0.9487493577911817,0.888
0.9497102924666523,0.89
0.9505998706068156,0.892
0.9514942058493326,0.894
0.952459897627157,0.896
0.9533827754837969,0.898
0.9542842463798448,0.9
0.9552713451182612,0.902
0.9562560653055007,0.904
0.9571813217133175,0.906
0.9581755561052647,0.908
0.9591388693319122,0.91
0.9601378608262131,0.912
0.961034574619907,0.914
0.9619503168230163,0.916
0.9627994595931721,0.918
0.9637294731033429,0.92
0.9646594866135136,0.922
0.9655633360607384,0.924
0.9664838353662014,0.926
0.9673995775693107,0.928
0.9682796415047663,0.93
0.9692310619755292,0.932
0.9702276749186534,0.934
0.9712314235153081,0.936
0.9721852225372478,0.9380000000000001
0.9731247502521261,0.9400000000000001
0.9740167069434663,0.9420000000000001
0.97494434190246,0.9440000000000001
0.9758743554126308,0.9460000000000001
0.976866211253401,0.9480000000000001
0.9777581679447412,0.9500000000000001
0.9786192034707816,0.9520000000000001
0.9795492169809523,0.9540000000000001
0.9805077731052458,0.9560000000000001
0.981425893859532,0.9580000000000001
0.9824106140467715,0.96
0.9833311133522347,0.962
0.9843039407835896,0.964
0.9851483264513916,0.966
0.9861282895362774,0.968
0.986908454322303,0.97
0.9878622533442427,0.972
0.9888826517991359,0.974
0.9897841226951838,0.976
0.9906594295282857,0.978
0.991596578691987,0.98
0.9925646490209882,0.982
0.9934470915076207,0.984
0.9943319125454302,0.986
0.9953832321656232,0.988
0.9963489239434475,0.99
0.9973431583353948,0.992
0.9982018153102582,0.994
0.9990866363480677,0.996
1.0,0.998
1.0,1.0
